answer,mean
금의환향,‘비단옷을 입고 고향에 돌아온다.’는 뜻으로 출세를 하여 고향에 돌아가거나 돌아옴을 비유적으로 이르는 말
낙화유수,‘떨어지는 꽃과 흐르는 물’이라는 뜻으로 가는 봄의 경치를 이르는 말
난형난제,‘누구를 형이라 하고 누구를 아우라 하기 어렵다.’는 뜻으로 두 사물이 비슷하여 낫고 못함을 정하기 어려움을 이르는 말
낭중지추,‘주머니 속의 송곳’이라는 뜻으로 재능이 뛰어난 사람은 숨어 있어도 저절로 사람들에게 알려짐을 이르는 말
다다익선,많으면 많을수록 더욱 좋음
당랑거철,‘사마귀가 수레바퀴를 막는다.’는 뜻으로 제 역량을 생각하지 않고 강한 상대나 되지 않을 일에 덤벼드는 무모한 행동거지를 비유적으로 이르는 말
대기만성,‘큰 그릇을 만드는 데는 시간이 오래 걸린다.’는 뜻으로 크게 될 사람은 늦게 이루어짐을 이르는 말
동문서답,‘동쪽을 묻는 데 서쪽을 대답한다.’는 뜻으로 물음과는 전혀 상관없는 엉뚱한 대답
동병상련,‘같은 병을 앓는 사람끼리 서로 가엾게 여긴다.’는 뜻으로 어려운 처지에 있는 사람끼리 서로 가엾게 여김을 이르는 말
동분서주,‘동쪽으로 뛰고 서쪽으로 뛴다.’는 뜻으로 사방으로 이리저리 몹시 바쁘게 돌아다님을 이르는 말
동상이몽,‘같은 자리에 자면서 다른 꿈을 꾼다.’는 뜻으로 겉으로는 같이 행동하면서도 속으로는 각각 딴생각을 하고 있음을 이르는 말
마이동풍,‘동풍이 말의 귀를 스쳐 간다.’는 뜻으로 남의 말을 귀담아듣지 아니하고 지나쳐 흘려버림을 이르는 말
배은망덕,남에게 입은 은덕을 잊고 배반함
부화뇌동,‘우레 소리에 맞춰 함께한다.’는 뜻으로 줏대 없이 남의 의견에 따라 움직임
불철주야,어떤 일에 몰두하여 조금도 쉴 사이 없이 밤낮을 가리지 아니함
사상누각,‘모래 위에 세운 누각’이라는 뜻으로 기초가 튼튼하지 못하여 오래 견디지 못할 일이나 물건을 이르는 말
사필귀정,모든 일은 반드시 바른길로 돌아감
삼고초려,인재를 맞아들이기 위하여 참을성 있게 노력함. 중국 삼국시대에 촉한의 유비가 난양에 은거하고 있던 제갈량의 초옥으로 세 번이나 찾아갔다는 데서 유래한다
새옹지마,인생의 길흉화복은 변화가 많아서 예측하기가 어렵다는 말
설상가상,‘눈 위에 서리가 덮인다.’는 뜻으로 난처한 일이나 불행한 일이 잇따라 일어남을 이르는 말
소탐대실,작은 것을 탐하다가 큰 것을 잃음
솔선수범,앞장서서 하여 모범을 보이는 것
수적천석,‘물방울이 바위를 뚫는다.’는 뜻으로 작은 노력이라도 끈기 있게 계속하면 큰 일을 이룰 수 있음
수주대토,한 가지 일에만 얽매여 발전을 모르는 어리석은 사람을 비유적으로 이르는 말
심사숙고,깊이 잘 생각함
아비규환,여러 사람이 비참한 지경에 빠져 울부짖는 참상을 비유적으로 이르는 말
아전인수,‘자기 논에 물 대기’라는 뜻으로 자기에게만 이롭게 되도록 생각하거나 행동함을 이르는 말
안빈낙도,가난한 생활을 하면서도 편안한 마음으로 도를 즐겨 지킴
안하무인,‘눈 아래에 사람이 없다.’는 뜻으로 방자하고 교만하여 다른 사람을 업신여김을 이르는 말
어부지리,두 사람이 이해관계로 서로 싸우는 사이에 엉뚱한 사람이 애쓰지 않고 가로챈 이익을 이르는 말
역지사지,처지를 바꾸어서 생각하여 봄
오매불망,자나 깨나 잊지 못함
오비이락,‘까마귀 날자 배 떨어진다.’는 뜻으로 아무 관계도 없이 한 일이 공교롭게도 때가 같아 억울하게 의심을 받거나 난처한 위치에 서게 됨을 이르는 말
오월동주,서로 적의를 품은 사람들이 한자리에 있게 된 경우나 서로 협력하여야 하는 상황을 비유적으로 이르는 말
용두사미,‘용의 머리와 뱀의 꼬리’라는 뜻으로 처음은 왕성하나 끝이 부진한 현상을 이르는 말
용호상박,‘용과 범이 서로 싸운다.’는 뜻으로 강자끼리 서로 싸움을 이르는 말
우유부단,1. 어물어물하기만 하고 딱 잘라 결단을 하지 못함 2. 결단력이 부족한 것
우이독경,‘쇠 귀에 경 읽기’라는 뜻으로 아무리 가르치고 일러 주어도 알아듣지 못함을 이르는 말
유비무환,미리 준비가 되어 있으면 걱정할 것이 없음
유유상종,같은 무리끼리 서로 사귐
유유자적,‘여유가 있어 한가롭고 걱정이 없는 모양’이라는 뜻으로 속세를 떠나 아무 속박 없이 조용하고 편안하게 삶
읍참마속,큰 목적을 위하여 자기가 아끼는 사람을 버림을 이르는 말
이심전심,마음과 마음으로 서로 뜻이 통함
일거양득,한 가지 일을 하여 두 가지 이익을 얻음
일석이조,‘돌 한 개를 던져 새 두 마리를 잡는다.’는 뜻으로 동시에 두 가지 이득을 봄을 이르는 말
일취월장,나날이 다달이 자라거나 발전함
일편단심,‘한 조각의 붉은 마음’이라는 뜻으로 진심에서 우러나오는 변치 아니하는 마음을 이르는 말
임기응변,그때그때 처한 사태에 맞추어 즉각 그 자리에서 결정하거나 처리함
입신양명,출세하여 이름을 세상에 떨침
자가당착,같은 사람의 말이나 행동이 앞뒤가 서로 맞지 아니하고 모순됨
자승자박,‘자기의 줄로 자기 몸을 옭아 묶는다.’는 뜻으로 자기가 한 말과 행동에 자기 자신이 옭혀 곤란하게 됨을 비유적으로 이르는 말
자포자기,절망에 빠져 자신을 스스로 포기하고 돌아보지 아니함
적반하장,‘도둑이 도리어 매를 든다.’는 뜻으로 잘못한 사람이 아무 잘못도 없는 사람을 나무람을 이르는 말
전전긍긍,몹시 두려워서 벌벌 떨며 조심함
전전반측,누워서 몸을 이리저리 뒤척이며 잠을 이루지 못함
전화위복,재앙과 근심 걱정이 바뀌어 오히려 복이 됨
절치부심,‘이를 갈고 마음을 썩이다.’는 뜻으로 몹시 분하여 이를 갈며 속을 썩임
점입가경,1. 들어갈수록 점점 재미가 있음 2. 시간이 지날수록 하는 짓이나 몰골이 더욱 꼴불견임을 비유적으로 이르는 말
조삼모사,간사한 꾀로 남을 속여 희롱함을 이르는 말
주경야독,‘낮에는 농사짓고 밤에는 글을 읽는다.’는 뜻으로 어려운 여건 속에서도 꿋꿋이 공부함을 이르는 말
죽마고우,‘대말을 타고 놀던 벗’이라는 뜻으로 어릴 때부터 같이 놀며 자란 벗
진퇴양난,이러지도 저러지도 못하는 어려운 처지
천고마비,‘하늘이 높고 말이 살찐다.’는 뜻으로 하늘이 맑아 높푸르게 보이고 온갖 곡식이 익는 가을철을 이르는 말
천재일우,‘천 년 동안 단 한 번 만난다.’는 뜻으로 좀처럼 만나기 어려운 좋은 기회를 이르는 말
청출어람,쪽에서 뽑아낸 푸른 물감이 쪽보다 더 푸르다.’는 뜻으로 제자나 후배가 스승이나 선배보다 나음을 비유적으로 이르는 말
초지일관,1. 처음에 세운 뜻을 이루려고 끝까지 밀고 나감 2. 처음 품은 뜻을 한결같이 꿰뚫음
촌철살인,‘한 치의 쇠붙이로도 사람을 죽일 수 있다.’는 뜻으로 간단한 말로도 남을 감동하게 하거나 남의 약점을 찌를 수 있음을 이르는 말
칠전팔기,‘일곱 번 넘어지고 여덟 번 일어난다.’는 뜻으로 여러 번 실패하여도 굴하지 아니하고 꾸준히 노력함을 이르는 말
표리부동,겉으로 드러나는 언행과 속으로 가지는 생각이 다름
풍전등화,‘바람 앞의 등불’이라는 뜻으로 사물이 매우 위태로운 처지에 놓여 있음을 비유적으로 이르는 말
학수고대,학의 목처럼 목을 길게 빼고 간절히 기다림
허장성세,실속은 없으면서 큰소리치거나 허세를 부림
환골탈태,사람이 보다 나은 방향으로 변하여 전혀 다른 사람처럼 됨
회자정리,만난 자는 반드시 헤어짐. 모든 것이 무상함을 나타내는 말이다
